,Category: All categories
Week,burgers: (United States)
2023-01-29,64
2023-02-05,67
2023-02-12,64
2023-02-19,72
2023-02-26,68
2023-03-05,67
2023-03-12,69
2023-03-19,72
2023-03-26,72
2023-04-02,72
2023-04-09,72
2023-04-16,73
2023-04-23,69
2023-04-30,73
2023-05-07,72
2023-05-14,77
2023-05-21,83
2023-05-28,92
2023-06-04,86
2023-06-11,87
2023-06-18,87
2023-06-25,89
2023-07-02,100
2023-07-09,83
2023-07-16,79
2023-07-23,79
2023-07-30,78
2023-08-06,76
2023-08-13,74
2023-08-20,71
2023-08-27,71
2023-09-03,73
2023-09-10,69
2023-09-17,90
2023-09-24,62
2023-10-01,64
2023-10-08,62
2023-10-15,63
2023-10-22,65
2023-10-29,66
2023-11-05,64
2023-11-12,61
2023-11-19,64
2023-11-26,61
2023-12-03,61
2023-12-10,61
2023-12-17,60
2023-12-24,87
2023-12-31,72
2024-01-07,63
2024-01-14,64
2024-01-21,77
